item_id,marketplace,country,main_image_id,domain_name,bullet_point,item_keywords,material,brand,color,item_name,model_name,model_number,product_type
B07T6RZ2CM,Amazon,IN,71dZhpsferL,amazon.in,"3D Printed Hard Back Case Mobile Cover for Lenovo K4 Note Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty None",mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Lenovo mobile case Lenovo phone cover Lenovo back case hard case 3D printed mobile cover,,Amazon Brand - Solimo,Others,Amazon Brand - Solimo Designer Couples Sitting at Dark 3D Printed Hard Back Case Mobile Cover for Lenovo K4 Note,Lenovo K4 Note,gz8115-SL40423,CELLULAR_PHONE_CASE
B07T2JY31Y,Amazon,IN,71vX7qIEAIL,amazon.in,"3D Printed Hard Back Case Mobile Cover for Sony Xperia Z1 L39H Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty",mobile cover back cover mobile case phone case mobile panel phone panel LG mobile case LG phone cover LG back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover,Wood,Amazon Brand - Solimo,others,Amazon Brand - Solimo Designer Leaf on Wood 3D Printed Hard Back Case Mobile Cover for Sony Xperia Z1 L39H,Sony Xperia Z1 L39H,gz8056-SL40528,CELLULAR_PHONE_CASE
B0849YGSCZ,Amazon,AE,A1EZF-2mB5L,amazon.ae,,small de fur rooms navidad woven girls shag pastel white furniture blush plaid runner pale sheepskin safavieh 10 area large dorm nuloom 4 muddle pink 8x10 yellow for trellis ft colors fauxfur decor and ivory indoors clearance rugs colored 9x12 kitchen floor furry fuzzy mat teen 2x3 room round,,Stone & Beam,,Stone & Beam Contemporary Doily Wool Farmhouse Rug,,I59I8044IVYGRYC00-Parent,HOME_FURNITURE_AND_DECOR
B081K6TCML,Amazon,IN,81o9EyZ-fAL,amazon.in,"Solimo Plastic Multipurpose Modular Drawer; smartly organize the clutter Visually appealing cuboidal design drawer set High-quality virgin PP plastic makes it sturdy and avoids bends Robust racks with flat base allow the systematic organization of items Large-sized racks with an ample storage capacity hoard multiple objects such as magazines, A4 size books, and other smaller items Enables stocking similar elements together which makes them easy to find Minimal space utilization when placed on the floor or anywhere Ideal for closed storage purpose in home, garage, offices and other spaces User-friendly structure facilities smooth handling and access to objects Multicolor drawers blend seamlessly with the trendy decor Package Contents: 1 Modular Drawer with three racks Color: Multicolor including green, blue, and pink colors; Dimensions: 38 x 37 x 57 cm",drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes drawer modular drawer 3 rack modular drawer kitchen drawer storage trolley drawers for storage plastic drawers Storage Containers Storage Drawer Units drawer organiser drawer organiser plastic storage boxes,Plastic,Amazon Brand - Solimo,Multicolor,"Amazon Brand - Solimo Plastic Multipurpose Modular Drawer, 3 Racks, Multicolor",,sol_cujo_13,HOME
B0854774X5,Amazon,IN,81xaJCVnl3L,amazon.in,"Snug fit for Nokia 8.1, with perfect cut-outs for volume buttons, audio and charging ports Compatible with Nokia 8.1 Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface.",Back Cover Designer Case Designer Take It Easy Mobile Cover Flexible Case Nokia 8.1 Case Printed Cover Silicone Case Soft TPU cases and covers fashion case mobile Cover,Silicon,Amazon Brand - Solimo,Multicolor,Amazon Brand - Solimo Designer Take It Easy UV Printed Soft Back Case Mobile Cover for Nokia 8.1,Nokia 8.1,UV10714-SL40617,CELLULAR_PHONE_CASE
B07NJPBZ19,Amazon,US,71m7q8wxdUL,amazon.com,"One 21-fluid ounce bottle of body wash with moisturizers for normal to dry skin Refreshing Cool Mist scent If you like Dial Spring Water Hydrating Body Wash, we invite you to try Solimo Cool Mist Body Wash Not tested on animals. Made in the U.S.A. with U.S. and foreign components. Satisfaction Guarantee: We're proud of our products. If you aren't satisfied, we'll refund you for any reason within a year of purchase. 1-877-485-0387 An Amazon brand",Solimo Cool Mist Body Wash body wash body wash with moisturizer body wash for men for women body cleanser liquid soap shower gel amazon brand,,Solimo,,"Amazon Brand - Solimo Body Wash, Cool Mist Scent, 21 fl oz (Pack of 1)",,,SKIN_CLEANING_AGENT
B013R4544C,Amazon,CA,81agKrncxwL,amazon.ca,An Amazon brand,cold weather gloves cold weather gear cold weather cold weather socks cold weather pants cold weather clothing cold weather work gloves cold weather hat cold weather coat gloves gloves men gloves work gloves leather gloves winter scarves scarves for men scarves men winter hats winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men; cold weather gloves^cold weather gear^cold weather^cold weather socks^cold weather pants^cold weather clothing^cold weather work gloves^cold weather hat^cold weather coat^gloves^gloves men^gloves work^gloves leather^gloves winter^scarves^scarves for men^scarves men^winter hats^winter hats for men;,,Thirty Five Kent,Blue,"Thirty Five Kent Men's Cashmere Zig Zag Scarf, Blue",,,ACCESSORY
B086B477BH,Amazon,ES,51ZjeCCBkhL,amazon.es,,,,,,,,5.40061E+12,WINE
B07THQWPJZ,Amazon,IN,81AyD23O40L,amazon.in,"3D Printed Hard Back Case Mobile Cover for Sony Xperia L1 Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty",mobile cover back cover mobile case phone case mobile panel phone panel vivo mobile case vivo phone cover vivo back case mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel Sony Xperia mobile case Sony Xperia phone cover Sony Xperia back case hard case 3D printed mobile cover,,Amazon Brand - Solimo,Others,Amazon Brand - Solimo Designer Rangolis 3D Printed Hard Back Case Mobile Cover for Sony Xperia L1,Sony Xperia L1,gz8467-SL40707,CELLULAR_PHONE_CASE
B07T9TMRXJ,Amazon,IN,813KjyvHJfL,amazon.in,"3D Printed Hard Back Case Mobile Cover for HTC U Ultra Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. Stylish design and appearance, express your unique personality. Extreme precision design allows easy access to all buttons and ports while featuring raised bezel to life screen and camera off flat surface. Slim Hard Back Cover No Warranty None",mobile cover back cover mobile case phone case mobile panel phone panel samsung mobile case samsung phone cover samsung back case mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover mobile cover back cover mobile case phone case mobile panel phone panel HTC Desire mobile case HTC Desire phone cover HTC Desire back case hard case 3D printed mobile cover,,Amazon Brand - Solimo,Others,Amazon Brand - Solimo Designer No Hate On Wooden Block 3D Printed Hard Back Case Mobile Cover for HTC U Ultra,HTC U Ultra,gz8405-SL40527,CELLULAR_PHONE_CASE
